NCM;CNAE
35040020;20991
35079011;21106
38248200;20991
40021912;20339
41071120;15106
42034000;14142
44219000;32990
7133321;1415
8044000;10317
11031300;10643
11071010;11135
12122100;3221
14049090;2209
25199090;8991
26161000;7243
29094990;20291
29153300;20291
29171921;20291
29223929;20291
29241939;20291
29242400;20291
29319049;20291
29379010;21106
30023020;21220
30033991;21211
30042041;21211
30049037;21211
33029011;20932
44039900;2101
44119290;16218
45020000;16293
1023919;1521
3011900;3213
3072100;3213
8062000;10317
8081000;1334
9041100;1393
13021920;10996
15079011;10422
17023011;10651
19043000;10627
25262000;8991
28091000;20193
29033100;20291
29054900;20291
29110090;20291
29147022;20291
29163122;20291
29163990;20291
29189919;20291
29212100;20291
29224220;20932
29241932;20223
29371920;21106
30023010;21220
30044090;21220
30049095;21220
32159000;20991
37019900;20991
38089197;20517
38123011;20932
39081024;20312
39131000;20312
44061000;16102
47061000;17109
3062990;3124
15152990;10651
27101922;19217
27102000;19217
28121014;20193
28261990;20193
29037712;20291
29125000;20291
29215139;20291
29221100;20291
29224961;21106
29252929;20291
29343020;21106
29391153;21106
30039051;21211
30049053;21220
32129010;20711
37024210;20991
37031029;20991
37039010;20991
40012910;1393
40025900;20339
40028000;20339
41069100;15106
41071220;15106
44101190;16218
2062200;10112
3023300;3116
3048930;10201
3075910;10201
6023000;1229
7143000;2209
13021200;10996
22030000;11135
25102010;8916
29154090;20291
29400094;21106
30021022;21220
30034010;21220
30034090;21211
30039083;21211
30039089;21211
30041011;21220
30041012;21211
32041300;20291
38089359;20517
38247200;20991
38249035;20991
39122010;20291
41044990;15106
3024290;3116
7102100;10325
8051000;10317
16029000;10139
16029000;10961
16041500;10201
20097100;10333
25081000;8100
28257090;20193
28399020;20193
28521023;20291
29159041;20291
29333923;20291
29333936;20291
29333992;20291
29350097;21106
29396300;21106
30031014;21211
30033925;21220
30039011;21211
30039067;21211
30059011;21238
32131000;20991
39123920;20291
47062000;17109
1022911;1521
3023600;3213
3048990;10201
5021011;10112
5111000;1512
26080010;7294
28182090;24415
28258090;20193
28418090;20193
29039130;20291
29051710;20291
29130010;20291
29225011;20291
29302012;20291
29319073;20291
29394900;21106
29419059;21106
30033921;21211
30039062;21220
30042049;21220
30042052;21211
30049069;21211
37069000;59120
38062000;20291
38089319;20525
38089411;20622
38254100;20991
39094019;20321
39206211;22218
39206300;22218
40116990;22111
40159000;32922
3028935;3124
3044300;10201
5100090;10112
7132010;1415
8023200;10317
11041900;10643
15153000;10422
28371919;20193
28391900;20193
29042010;20291
29154010;20291
29214910;20291
29332993;20291
29336912;20291
29350021;21106
29372210;21106
29391152;21106
29400092;21106
29411049;21106
30032092;21211
30039043;21220
30039069;21220
30041015;21220
30043924;21220
30049029;21211
44072200;16102
1059900;1555
6029021;1229
7032090;1199
8135000;10317
13021960;10996
15161000;10431
16053000;10961
28111920;20193
28341010;20932
28352910;20193
29093019;20291
29157040;20291
29159060;20291
29161210;20223
29209013;20291
29215190;20291
29221991;20291
29224964;20291
29242300;20291
29291010;20223
29331112;21106
29331190;21106
29332190;20291
30032063;21220
30049025;21211
30049045;21211
38249052;20991
39071041;20312
44079910;16102
1061100;1598
3038964;10201
6012000;1229
7082000;1199
7133210;1415
8043000;10317
12079990;2209
15219090;10431
21013000;10821
23024000;10694
26050000;7294
27101259;19217
28121012;20193
28342190;20193
28352990;20193
29037723;20291
29095013;20291
29211919;20291
29221911;20291
29269091;20291
29329911;20291
29332921;20291
29334120;20291
29339122;20291
29400029;21106
30031020;21211
30039046;21211
30049072;21211
32019090;20291
38123013;20932
39203000;22218
41079910;15106
3025600;3221
3028937;3124
3077100;3213
4012090;1512
5061000;10121
6031100;1229
7123200;10325
8045010;10317
12119090;1199
24039990;12204
27011100;5003
28164010;20193
28274120;20517
28444030;20193
28461010;20193
29012420;20215
29038210;20291
29171990;20291
29309057;20517
29332129;20291
29332922;20291
29349942;20291
29362931;21106
29372392;21106
29391162;21106
30023090;21220
30033991;21220
30039072;21220
30041012;21220
30043939;21211
35030011;20291
38231100;20291
38249051;20932
39172900;22234
40116390;22111
48021000;17214
1064900;3221
2011000;10112
2075300;10121
3028100;3221
7020000;1199
7131010;1415
7149000;2209
8045020;10317
9021000;10996
10083090;1113
10085090;1113
15152100;10651
19011020;10520
20059100;10325
20091100;10333
22060090;11127
23065000;10414
24011010;1148
28261920;20193
28334090;20193
29039922;20291
29171329;20291
29214241;20291
29302029;20291
29333349;20291
29333384;20291
29334990;20291
30021037;21220
30033995;21211
30033995;21220
30049012;21220
30049077;21211
30059019;21238
37029600;20991
38249039;20991
41139000;15106
48025591;17222
3076000;1598
8029000;2209
9011110;1342
17049010;10937
18031000;10937
20049000;10325
21032010;10953
25010011;8924
27111100;6000
27131200;19225
29031920;20291
29038910;20291
29152910;20291
29159090;20291
